pdbTM,sample,length
0.721,sample_7,len_099
0.702,sample_8,len_099
0.721,sample_9,len_099
0.793,sample_0,len_100
0.684,sample_1,len_100
0.706,sample_2,len_100
0.736,sample_3,len_100
0.683,sample_4,len_100
0.742,sample_5,len_100
0.747,sample_6,len_100
0.653,sample_7,len_100
0.676,sample_8,len_100
0.713,sample_9,len_100
0.813,sample_0,len_101
0.865,sample_1,len_101
0.727,sample_2,len_101
0.893,sample_3,len_101
0.881,sample_4,len_101
0.608,sample_5,len_101
0.709,sample_6,len_101
0.677,sample_7,len_101
0.753,sample_8,len_101
0.605,sample_9,len_101
0.685,sample_0,len_102
0.644,sample_1,len_102
0.811,sample_2,len_102
0.678,sample_3,len_102
0.749,sample_4,len_102
0.897,sample_5,len_102
0.671,sample_6,len_102
0.714,sample_7,len_102
0.866,sample_8,len_102
0.71,sample_9,len_102
0.764,sample_0,len_103
0.829,sample_1,len_103
0.853,sample_2,len_103
0.651,sample_3,len_103
0.718,sample_4,len_103
0.828,sample_5,len_103
0.862,sample_6,len_103
0.657,sample_7,len_103
0.758,sample_8,len_103
0.68,sample_9,len_103
0.925,sample_0,len_104
0.677,sample_1,len_104
0.716,sample_2,len_104
0.909,sample_3,len_104
0.911,sample_4,len_104
0.779,sample_5,len_104
0.71,sample_6,len_104
0.68,sample_7,len_104
0.761,sample_8,len_104
0.702,sample_9,len_104
0.848,sample_0,len_105
0.694,sample_1,len_105
0.884,sample_2,len_105
0.824,sample_3,len_105
0.656,sample_4,len_105
0.697,sample_5,len_105
0.599,sample_6,len_105
0.54,sample_7,len_105
0.578,sample_8,len_105
0.86,sample_9,len_105
0.693,sample_0,len_106
0.825,sample_1,len_106
0.678,sample_2,len_106
0.911,sample_3,len_106
0.793,sample_4,len_106
0.664,sample_5,len_106
0.731,sample_6,len_106
0.756,sample_7,len_106
0.739,sample_8,len_106
0.864,sample_9,len_106
0.742,sample_0,len_107
0.557,sample_1,len_107
0.735,sample_2,len_107
0.802,sample_3,len_107
0.735,sample_4,len_107
0.555,sample_5,len_107
0.823,sample_6,len_107
0.865,sample_7,len_107
0.731,sample_8,len_107
0.778,sample_9,len_107
0.826,sample_0,len_108
0.695,sample_1,len_108
0.573,sample_2,len_108
0.603,sample_3,len_108
0.91,sample_4,len_108
0.686,sample_5,len_108
0.889,sample_6,len_108
0.752,sample_7,len_108
0.566,sample_8,len_108
0.616,sample_9,len_108
0.622,sample_0,len_109
0.763,sample_1,len_109
0.916,sample_2,len_109
0.891,sample_3,len_109
0.95,sample_4,len_109
0.738,sample_5,len_109
0.661,sample_6,len_109
0.595,sample_7,len_109
0.749,sample_8,len_109
0.679,sample_9,len_109
0.838,sample_0,len_110
0.698,sample_1,len_110
0.634,sample_2,len_110
0.772,sample_3,len_110
0.629,sample_4,len_110
0.917,sample_5,len_110
0.696,sample_6,len_110
0.667,sample_7,len_110
0.853,sample_8,len_110
0.791,sample_9,len_110
0.679,sample_0,len_111
0.647,sample_1,len_111
0.64,sample_2,len_111
0.722,sample_3,len_111
0.619,sample_4,len_111
0.768,sample_5,len_111
0.675,sample_6,len_111
0.689,sample_7,len_111
0.626,sample_8,len_111
0.83,sample_9,len_111
0.909,sample_0,len_112
0.687,sample_1,len_112
0.702,sample_2,len_112
0.846,sample_3,len_112
0.846,sample_4,len_112
0.631,sample_5,len_112
0.815,sample_6,len_112
0.723,sample_7,len_112
0.825,sample_8,len_112
0.685,sample_9,len_112
0.656,sample_0,len_113
0.631,sample_1,len_113
0.774,sample_2,len_113
0.681,sample_3,len_113
0.798,sample_4,len_113
0.629,sample_5,len_113
0.683,sample_6,len_113
0.787,sample_7,len_113
0.707,sample_8,len_113
0.876,sample_9,len_113
0.823,sample_0,len_114
0.667,sample_1,len_114
0.706,sample_2,len_114
0.608,sample_3,len_114
0.552,sample_4,len_114
0.604,sample_5,len_114
0.645,sample_6,len_114
0.797,sample_7,len_114
0.779,sample_8,len_114
0.74,sample_9,len_114
0.816,sample_0,len_115
0.809,sample_1,len_115
0.81,sample_2,len_115
0.73,sample_3,len_115
0.674,sample_4,len_115
0.725,sample_5,len_115
0.789,sample_6,len_115
0.683,sample_7,len_115
0.766,sample_8,len_115
0.684,sample_9,len_115
0.921,sample_0,len_116
0.479,sample_1,len_116
0.673,sample_2,len_116
0.878,sample_3,len_116
0.748,sample_4,len_116
0.754,sample_5,len_116
0.723,sample_6,len_116
0.817,sample_7,len_116
0.809,sample_8,len_116
0.829,sample_9,len_116
0.828,sample_0,len_117
0.658,sample_1,len_117
0.756,sample_2,len_117
0.802,sample_3,len_117
0.845,sample_4,len_117
0.599,sample_5,len_117
0.54,sample_6,len_117
0.577,sample_7,len_117
0.6,sample_8,len_117
0.815,sample_9,len_117
0.647,sample_0,len_118
0.845,sample_1,len_118
0.766,sample_2,len_118
0.661,sample_3,len_118
0.748,sample_4,len_118
0.655,sample_5,len_118
0.6,sample_6,len_118
0.709,sample_7,len_118
0.733,sample_8,len_118
0.624,sample_9,len_118
0.601,sample_0,len_119
0.757,sample_1,len_119
0.675,sample_2,len_119
0.647,sample_3,len_119
0.724,sample_4,len_119
0.565,sample_5,len_119
0.766,sample_6,len_119
0.619,sample_7,len_119
0.714,sample_8,len_119
0.571,sample_9,len_119
0.695,sample_0,len_120
0.776,sample_1,len_120
0.718,sample_2,len_120
0.618,sample_3,len_120
0.68,sample_4,len_120
0.617,sample_5,len_120
0.853,sample_6,len_120
0.929,sample_7,len_120
0.696,sample_8,len_120
0.788,sample_9,len_120
0.679,sample_0,len_121
0.724,sample_1,len_121
0.668,sample_2,len_121
0.698,sample_3,len_121
0.9,sample_4,len_121
0.629,sample_5,len_121
0.756,sample_6,len_121
0.622,sample_7,len_121
0.716,sample_8,len_121
0.853,sample_9,len_121
0.725,sample_0,len_122
0.705,sample_1,len_122
0.876,sample_2,len_122
0.676,sample_3,len_122
0.704,sample_4,len_122
0.733,sample_5,len_122
0.734,sample_6,len_122
0.743,sample_7,len_122
0.799,sample_8,len_122
0.653,sample_9,len_122
0.798,sample_0,len_123
0.541,sample_1,len_123
0.755,sample_2,len_123
0.596,sample_3,len_123
0.787,sample_4,len_123
0.756,sample_5,len_123
0.606,sample_6,len_123
0.76,sample_7,len_123
0.904,sample_8,len_123
0.716,sample_9,len_123
0.836,sample_0,len_124
0.673,sample_1,len_124
0.671,sample_2,len_124
0.917,sample_3,len_124
0.819,sample_4,len_124
0.634,sample_5,len_124
0.93,sample_6,len_124
0.577,sample_7,len_124
0.65,sample_8,len_124
0.938,sample_9,len_124
0.698,sample_0,len_125
0.749,sample_1,len_125
0.715,sample_2,len_125
0.791,sample_3,len_125
0.755,sample_4,len_125
0.595,sample_5,len_125
0.712,sample_6,len_125
0.673,sample_7,len_125
0.707,sample_8,len_125
0.766,sample_9,len_125
0.839,sample_0,len_126
0.683,sample_1,len_126
0.608,sample_2,len_126
0.596,sample_3,len_126
0.803,sample_4,len_126
0.671,sample_5,len_126
0.712,sample_6,len_126
0.787,sample_7,len_126
0.65,sample_8,len_126
0.778,sample_9,len_126
0.695,sample_0,len_127
0.58,sample_1,len_127
0.683,sample_2,len_127
0.614,sample_3,len_127
0.611,sample_4,len_127
0.635,sample_5,len_127
0.67,sample_6,len_127
0.627,sample_7,len_127
0.639,sample_8,len_127
0.693,sample_9,len_127
0.656,sample_0,len_128
0.703,sample_1,len_128
0.605,sample_2,len_128
0.873,sample_3,len_128
0.611,sample_4,len_128
0.66,sample_5,len_128
0.684,sample_6,len_128
0.587,sample_7,len_128
0.676,sample_8,len_128
0.829,sample_9,len_128
